model_name,best_top_k,rouge1_mean,rouge2_mean,rougeL_mean
Llama-3.2-1B,2,0.3113809673904301,0.1548860436541841,0.2734934225292407
Llama-3.1-8B,2,0.4051157305773996,0.2106281644359152,0.3414229918078648
Llama-3.2-3B,2,0.3942450135219549,0.1951626156602016,0.3326441728996823
