domain,0,1,2,3,4,5
Commonsense,0.3015390922013147,0.35434507550369465,0.3360186007676083,0.31824739876148733,0.29994619135273565,0.2481184398987828
Dialogue,0.45612078758312313,0.49641137338049335,0.48141958865481893,0.47478637321788975,0.4665961713204655,0.44305263094790037
News,0.20072081953546073,0.2743217966333441,0.29614338757817255,0.2590542201717977,0.27754420213631,0.28611624548863523
Public Places,0.6107024829649316,0.638477671257292,0.6268205765420295,0.6313253476742922,0.6332461512881954,0.637986821997018
Reviews,0.26656182647892934,0.3109973983412,0.3199359260627842,0.3010951409199867,0.3114969280427229,0.30758112547431177
Scientific Research Papers,0.22710678171084553,0.21091478622285592,0.26843025534454945,0.22948264520929149,0.24064829734594406,0.22204235491744673
