domain,0,1,2,3,4,5
Commonsense,0.3437450350413835,0.365350342876837,0.3588241391580507,0.33703642439475495,0.3250000861749316,0.31414721540628276
Dialogue,0.4770481285623903,0.5250159684470357,0.5212665099984856,0.5055548993889708,0.47888571492601545,0.4793005777742686
News,0.1980426091317723,0.27044525854696466,0.3258463138974938,0.2939851474998558,0.30500087847419205,0.3108384358602922
Public Places,0.6103512220833971,0.6846815940172343,0.6837088808389205,0.6740733743831865,0.6327713436770993,0.6444539401422544
Reviews,0.2521503012879349,0.32731553851863465,0.31451925667131825,0.31220167115160025,0.30484108516335345,0.31082897159018424
Scientific Research Papers,0.20626835086650971,0.20915083680801203,0.16723428552466355,0.18260752027868182,0.18327842029748292,0.18021810807443522
