domain,0,1,2,3,4,5
Commonsense,0.2777679853658718,0.2553137083547469,0.28397824121511855,0.2408190502136309,0.21554835426920047,0.2042050759418357
Dialogue,0.41322217774972,0.4447145660286624,0.4600815517533038,0.4146240749907329,0.4036074896406049,0.4040526732126888
News,0.1863688926866141,0.2057745056685077,0.2297311147207502,0.24066758381265624,0.21116821593784676,0.22567631789202372
Public Places,0.5486763701335682,0.6341154237025777,0.6361848622914891,0.5884290997678349,0.5916666250120094,0.6039002704835419
Reviews,0.2524056343179122,0.3004909040859153,0.26743429676988695,0.2470584793570654,0.2477967528137008,0.24936051389191372
Scientific Research Papers,0.1355875273237576,0.09414795917936498,0.14336520616098183,0.12165729033120933,0.12100670851080512,0.09248257932412121
